"ID ";"Rubrik ";"Titel-DE ";"Title-EN ";"Text-DE ";"Text-EN ";"Bild ";"Zeichnung ";"Kategorie-DE ";"Kategorie-EN "
"3711 ";" 10.5 ";"ESV - Schott-Verschraubungen - SC ";"ESV - Bulkhead Couplings - SC ";"Einschweiß-Schottverschraubungen ";"Welding Bulkhead Connections ";"ESV-SC.png ";"ESV-SC.png ";"ESV - Einschweiß - Schott - Verschraubungen ";"ESV - Bulkhead - Couplings "
"3712 ";" 10.6 ";"ESV - Schott-Verschraubungsstutzen - OMD ";"ESV - Bulkhead Coupling Bodies - OMD ";"Einschweiß-Schottverschraubungsstutzen ";"Welding Bulkhead Connection Bodies ";"ESV-OMD.png ";"esv-omd.png ";"ESV - Einschweiß - Schott - Verschraubungen ";"ESV - Bulkhead - Couplings "
"3713 ";" 10.7 ";"ASV - Gerade Verschraubungen - Standard ";"ASV - Couplings - Standard ";"Gerade Anschweißverschraubungen ";"Straight Welding Bosses ";"ASV.png ";"ASV.png ";"ASV - Gerade Anschweiß - Verschraubungen ";"ASV - Weld - Stub - Couplings "
"3714 ";" 10.8 ";"ASV - Gerade Verschraubungen - SC ";"ASV - Couplings - SC ";"Gerade Anschweißverschraubungen ";"Straight Welding Bosses ";"ASV-SC.png ";"ASV-SC.png ";"ASV - Gerade Anschweiß - Verschraubungen ";"ASV - Weld - Stub - Couplings "
"3715 ";" 10.9 ";"ASV - Gerade Verschraubungsstutzen - OMD ";"ASV - Coupling Bodies - OMD ";"Gerade Anschweißverschraubungsstutzen ";"Straight Welding Boss Bodies ";"ASV-OMD.png ";"asv-omd.png ";"ASV - Gerade Anschweiß - Verschraubungen ";"ASV - Weld - Stub - Couplings "
"3717 ";" 11.4 ";"Drehverschraubungen - Whitworth - Zylindrisch - Standard ";"Rotary Couplings - Whitworth - Parallel - Standard ";"<div>Winkel-Drehverschraubungen Einschraubgewinde G: Whitworth-Rohrgewinde - Zylindrisch Einschraubgewinde G: Metrisch - Zylindrisch Ausführung: Gehäuse aus Vierkantstahl Dichtungskombination: O-Ring + wd = FPM Stützring = PTFE</div> ";"<div>Elbow Rotary Couplings Thread G: BSP - Parallel Thread G: Metric - Parallel Construction: Bodies made from Steel Bar Sealing Combination: O-ring + wd = FPM Backing Ring = PTFE</div> ";"DGWE.png ";"DGWE.png ";"DGWE - Winkel - Drehverschraubungen ";"DGWE - Rotary - Couplings "
"3718 ";" 11.5 ";"Drehverschraubungen - Whitworth - Zylindrisch - SC ";"Rotary Couplings - Whitworth - Parallel - SC ";"<div>Winkel-Drehverschraubungen Einschraubgewinde G: Whitworth-Rohrgewinde - Zylindrisch Einschraubgewinde G: Metrisch - Zylindrisch Ausführung: Gehäuse aus Vierkantstahl Dichtungskombination: O-Ring + wd = FPM Stützring = PTFE</div> ";"<div>Elbow Rotary Couplings Thread G: BSP - Parallel Thread G: Metric - Parallel Construction: Bodies made from Steel Bar Sealing Combination: ·o-ring + wd = FPM ·Backing Ring = PTFE</div> ";"DGWE.png ";"DGWE-SC.png ";"DGWE - Winkel - Drehverschraubungen ";"DGWE - Rotary - Couplings "
"3719 ";" 11.6 ";"Drehverschraubungen - Whitworth - Zylindrisch - OMD ";"Rotary Couplings - BSP - Parallel - OMD ";"<div>Winkel-Drehverschraubungen Einschraubgewinde G: Whitworth-Rohrgewinde - Zylindrisch Einschraubgewinde G: Metrisch - Zylindrisch Ausführung: Gehäuse aus Vierkantstahl Dichtungskombination: O-Ring + wd = FPM Stützring = PTFE</div> ";"<div>Elbow Rotary Couplings Thread G: BSP - Parallel Thread G: Metric - Parallel Construction: Bodies made from Steel Bar Sealing Combination: O-ring + wd = FPM Backing Ring = PTFE</div> ";"DGWE-OMD.png ";"";"DGWE - Winkel - Drehverschraubungen ";"DGWE - Rotary - Couplings "
"3720 ";" 12.2 ";"Vormontagestutzen ";"Pre-Installation Dies ";"<div>Bei manueller Vormontage sind gehärtete</div>

<div>Vormontagestutzen zwingend erforderlich</div> ";"<div>With manual preassembly are hardened</div>

<div>Preassembly sockets absolutely necessar</div> ";"VOST.png ";"VOST.png ";"Vormontagestutzen ";"Pre-Installation Dies "
"3721 ";" 12.3 ";"Öl-Jokisch HDS 400 ";"Oil-Jokisch HDS 400 ";"Öl-Jokisch HDS 400 á 250 ml 
Für die Montage von Schraubverbindungen aus Edelstahl
-20°C bis +120°C
 
Kein Rabatt! ";"Oil-Jokisch HDS 400 á 250 ml 
For Assembly of Stainless Steel Couplings
-20°C to +120°C
 
No discount!  ";"Oel-HDS.png ";"Oel-HDS.png ";"Schmierstoffe ";"Lubricants "
"3722 ";" 12.4 ";"Weiße Paste - PH Paste 810 ";"White Grease Paste - PH Paste 810 ";"Weiße Paste - PH Paste 810 á 100 g 
Für die Montage von Schraubverbindungen aus Edelstahl
-25°C bis +80°C
 
Kein Rabatt! ";"White Grease Paste - PH Paste 810 á 100 g
For Assembly of Stainless Steel Couplings
-25°C to +80°C
 
No discount! ";"PH-Paste-810.png ";"PH-Paste-810.png ";"Schmierstoffe ";"Lubricants "
"3723 ";" 12.5 ";"High-Tech Paste - ASW 040 P ";"High-Tech Grease Paste - ASW 040 P ";"High-Tech Paste ASW 040 P - Metallfrei
Für die Montage von Schraubverbindungen aus Edelstahl
-40°C bis +1400°C
 
Kein Rabatt! ";"High-Tech Grease Paste ASW 040 P - Metalfree
For Assembly of Stainless Steel Couplings
-40° to +1400°C
 
No discount!
  ";"ASW.png ";"ASW.png ";"Schmierstoffe ";"Lubricants "
"3724 ";" 12.6 ";"Weiße Fettpaste - Gleitmo 815 ";"White Grease Paste - Gleitmo 815 ";"Weiße Fettpaste - Gleitmo 815 - Sprühdose á 400 ml 
Für die Montage von Schraubverbindungen aus Edelstahl
-45°C / +110°C; kurzzeitig bis 180°C
 
Kein Rabatt! ";"White Grease Paste - Gleitmo 815 - Aerosol á 400 ml 
For Assembly of Stainless Steel Couplings
-45°C / +110°C; short-term up to 180°C
 
No discount! ";"Gleitmo-815.png ";"Gleitmo-815.png ";"Schmierstoffe ";"Lubricants "
"3814 ";" 13.15 ";"Rohrgewinde DIN ISO 228 PTFE - EPDM ";"BSP Female Thread DIN ISO 228 PTFE - EPDM ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"DN 4 bis DN 50
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, 1.4571 (AISI 316Ti)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 nach EN 10204 ";"RKH.png ";"RKH_Web_Rohrgewinde_DIN_ISO_228.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3819 ";" 13.15 ";"Rohrverschraubung Schwere Reihe DIN 2353 PTFE - FPM ";"For Compression Fitting Heavy Series DIN 2353 PTFE - FPM ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_Rohrverschraubung_schwer.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3818 ";" 13.15 ";"Rohrverschraubung Leichte Reihe DIN 2353 PTFE - FPM ";"For Compression Fitting Light Series DIN 2353 PTFE - FPM ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_Rohrverschraubung_leicht.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3817 ";" 13.15 ";"NPT-Innengewinde ANSI B 2.1 PTFE - FPM ";"NPT Female Thread ANSI B 2.1  PTFE - FPM ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_NPT-Innengewinde.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3810 ";" 13.15 ";"Rohrgewinde DIN ISO 228 POM - NBR ";"BSP Female Thread  DIN ISO 228 POM - NBR ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_Rohrgewinde_DIN_ISO_228.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3811 ";" 13.15 ";"NPT-Innengewinde ANSI B 2.1 POM - NBR ";"NPT-Female Thread ANSI B 2.1 POM - NBR ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_NPT-Innengewinde.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3812 ";" 13.15 ";"Rohrverschraubung Leichte Reihe DIN 2353 PTFE - EPDM ";"For Compression Fitting Light Series DIN 2353 PTFE - EPDM ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_Rohrverschraubung_leicht.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3813 ";" 13.15 ";"Rohrverschraubung Schwere Reihe DIN 2353 PTFE - EPDM ";"For Compression Fitting Heavy series DIN 2353 PTFE - EPDM ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_Rohrverschraubung_schwer.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3809 ";" 13.15 ";"Rohrverschraubung Schwere Reihe DIN 2353 POM - NBR ";"For Compression Fitting Heavy Series DIN 2353  POM - NBR ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_Rohrverschraubung_schwer.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3808 ";" 13.15 ";"Rohrverschraubung Leichte Reihe DIN 2353 POM - NBR ";"For Compression Fitting Light Series DIN 2353 POM - NBR ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_Rohrverschraubung_leicht.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3816 ";" 13.15 ";"Rohrgewinde DIN ISO 228 PTFE - FPM ";"BSP Female Thread DIN ISO 228 ";"DN 4 bis DN 50
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, 1.4571 (AISI 316Ti)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 nach EN 10204 ";"DN 4 bis DN 50
Body, Connecting Parts, Ball and Stem Stainless Steel, 1.4571 (AISI 316Ti)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 according to DIN EN 10204 can ";"RKH.png ";"RKH_Web_Rohrgewinde_DIN_ISO_228.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3815 ";" 13.15 ";"NPT-Innengewinde ANSI B 2.1 PTFE - EPDM ";"NPT-Female Thread ANSI B 2.1 PTFE - EPDM ";"Serie 020 (DN 4 bis DN 50) 
Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B ode ";"Series 020 (DN 5 bis DN 50)
Body, Connecting Parts, Ball and Stem Stainless Steel, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN ";"RKH.png ";"RKH_Web_NPT-Innengewinde.png ";"RKH - Edelstahl - Kugelhähne ";"RKH - Stainless Steel - Ball Valves "
"3895 ";" 13.17 ";"Edelstahl-Kugelhähne BKH ";"Stainless Steel Ball Valves BKH ";"Gehäuse, Stutzen, Kugel und Schaltwelle nichtrostender Stahl, 1.4571 (AISI 316Ti)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 nach EN 10204 kann auf Anfra ";"Body, Connecting Parts, Ball and Stem Stainless Steel, 1.4571 (AISI 316Ti)
Each PH ball valve is subject to an inspection for resistance, sealing
and special characteristics.
Inspection control certificates 3.1 per EN 10204 can be
supplied on request agai ";"BKH.png ";"BKH.png ";"BKH - Edelstahl - Kugelhähne ";"BKH - Stainless Steel - Ball Valves "
"3936 ";" 13.18 ";"BKH - Edelstahl - Kugelhähne - Schließvorrichtung ";"BKH - Stainless Steel - Ball - Valves - locking device ";"<div>Abschließvorrichtung für </div>

<div>Blockkugelhähne BKH</div>

<div>ohne Schloß</div> ";"<div>Locking device for </div>

<div>block ball valves BKH</div>

<div>without a lock</div> ";"BKH-AV.png ";"BKH-AV-z.png ";"BKH - Edelstahl - Kugelhähne ";"BKH - Stainless Steel - Ball Valves "
"3825 ";" 13.20 ";"NPT-Innengewinde ANSI B 2.1  PTFE - FPM ";"NPT Female Thread ANSI B 2.1 PTFE - FPM ";"L-Bohrung
Serie 100
DN 4 bis DN 50
Gehäuse, Kugel und Schaltwelle, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B oder 3.1 C nach DIN EN 102 ";"L-Bore
Series 100
DN 4 to DN 50
Body, Ball and Stem, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN 10204 can be supplied on requ ";"BK3.png ";"BK3_Web_NPT-Innengewinde.png ";"BK3 - Dreiwege - Umschalt-Kugelhähne - L-Bohrung ";"BK3 - Three-Way ball valves - L-bore "
"3820 ";" 13.20 ";"Rohrgewinde DIN ISO 228 POM - NBR ";"BSP Female Thread DIN ISO 228 POM - NBR ";"L-Bohrung
Serie 100
DN 4 bis DN 50
Gehäuse, Kugel und Schaltwelle, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B oder 3.1 C nach DIN EN 102 ";"L-Bore
Series 100
DN 4 to DN 50
Body, Ball and Stem, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN 10204 can be supplied on requ ";"BK3.png ";"BK3_Web_Rohrgewinde_DIN_ISO_228.png ";"BK3 - Dreiwege - Umschalt-Kugelhähne - L-Bohrung ";"BK3 - Three-Way ball valves - L-bore "
"3827 ";" 13.20 ";"Rohrverschraubung Schwere Reihe DIN 2353 PTFE - FPM ";"For Compression Fitting Heavy Series DIN 2353 PTFE - FPM ";"L-Bohrung
Serie 100
DN 4 bis DN 50
Gehäuse, Kugel und Schaltwelle, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B oder 3.1 C nach DIN EN 102 ";"L-Bore
Series 100
DN 4 to DN 50
Body, Ball and Stem, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN 10204 can be supplied on requ ";"BK3.png ";"BK3_Web_Rohrverschraubung_schwer.png ";"BK3 - Dreiwege - Umschalt-Kugelhähne - L-Bohrung ";"BK3 - Three-Way ball valves - L-bore "
"3826 ";" 13.20 ";"Rohrverschraubung Leichte Reihe DIN 2353 PTFE - FPM ";"For Compression Fitting Light Series DIN 2353 PTFE - FPM ";"L-Bohrung
Serie 100
DN 4 bis DN 50
Gehäuse, Kugel und Schaltwelle, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B oder 3.1 C nach DIN EN 102 ";"L-Bore
Series 100
DN 4 to DN 50
Body, Ball and Stem, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN 10204 can be supplied on requ ";"BK3.png ";"BK3_Web_Rohrverschraubung_leicht.png ";"BK3 - Dreiwege - Umschalt-Kugelhähne - L-Bohrung ";"BK3 - Three-Way ball valves - L-bore "
"3822 ";" 13.20 ";"Rohrverschraubung Leichte Reihe DIN 2353 POM - NBR ";"For Compression Fitting Light Series DIN 2353 POM - NBR ";"L-Bohrung
Serie 100
DN 4 bis DN 50
Gehäuse, Kugel und Schaltwelle, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B oder 3.1 C nach DIN EN 102 ";"L-Bore
Series 100
DN 4 to DN 50
Body, Ball and Stem, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN 10204 can be supplied on requ ";"BK3.png ";"BK3_Web_Rohrverschraubung_leicht.png ";"BK3 - Dreiwege - Umschalt-Kugelhähne - L-Bohrung ";"BK3 - Three-Way ball valves - L-bore "
"3824 ";" 13.20 ";"Rohrgewinde DIN ISO 228 PTFE - FPM ";"BSP Female Thread DIN ISO 228  PTFE - FPM ";"L-Bohrung
Serie 100
DN 4 bis DN 50
Gehäuse, Kugel und Schaltwelle, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B oder 3.1 C nach DIN EN 102 ";"L-Bore
Series 100
DN 4 to DN 50
Body, Ball and Stem, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN 10204 can be supplied on requ ";"BK3.png ";"BK3_Web_Rohrgewinde_DIN_ISO_228.png ";"BK3 - Dreiwege - Umschalt-Kugelhähne - L-Bohrung ";"BK3 - Three-Way ball valves - L-bore "
"3823 ";" 13.20 ";"Rohrverschraubung Schwere Reihe DIN 2353 POM - NBR ";"For Compression Fitting Heavy Series DIN 2353 POM - NBR ";"L-Bohrung
Serie 100
DN 4 bis DN 50
Gehäuse, Kugel und Schaltwelle, V4a (AISI 316)
Unsere Kugelhähne werden einzeln einer Prüfung auf Festigkeit, Dichtheit und besonderen geltenden Richtlinien unterzogen.
Abnahmeprüfzeugnis 3.1 B oder 3.1 C nach DIN EN 102 ";"L-Bore
Series 100
DN 4 to DN 50
Body, Ball and Stem, V4a (AISI 316)
Each PH ball valve is subject to an inspection for resistance, sealing and special characteristics.
Inspection control certificates 3.1 B or 3.1 C per DIN EN 10204 can be supplied on requ ";"BK3.png ";"BK3_Web_Rohrverschraubung_schwer.png ";"BK3 - Dreiwege - Umschalt-Kugelhähne - L-Bohrung ";"BK3 - Three-Way ball valves - L-bore "
